,Datetime,Tweet Id,Text,Username
0,2018-12-31 23:59:58+00:00,1079889936327888896,"@DrLorenzoMeyer Encontra de una barrera
Ellos deberian hacer uma muralla y abrirse dentro de mil años como china y talbes vuelva a.ser una economia fuerte
El dolar 65 centavos costo real
No los odio es nuestro sistema q se arrodilla.esperando la 4t",inormando
1,2018-12-31 23:59:21+00:00,1079889779645468672,@anadoluajansi Neden yansımıyor o zaman dolar en az  %25  düştü aşağıya siz kaç ay sonra %10 seçim indirimi yapıyorsunuz tüyü bitmemiş yetimin hakkı omuzlarınız da bj yükün altında kalırsınız 👍!!!,adiges_10
2,2018-12-31 23:59:13+00:00,1079889744857837578,"Menção honrosa a @freeoposittion @Wagnerpoeta1 .
Feliz ano novo para o restante da galera boa tbm. 
Quando vira o ano gritem ""aí dentu!!!"",""tatu não sobe em toco"", ""pão é trigo e trigo é dólar"", ""repare bem"" e ""intÊresses"". 😀",GuiVargasGEDA
3,2018-12-31 23:58:56+00:00,1079889673269460992,@TylerJamesWill Passa um dólar,HenriqueIvan10
4,2018-12-31 23:57:56+00:00,1079889423284744200,İsim vermeyeceğim diye söz verdim kendime... Ama kardeşim hamaset ile konuştun durdun... 2 trilyon dolar olacak dedin.. Milli gelir. Olmayacağını gördün sustun... Bari rakam söyleme... Seksen kiloydun... şimdilerde 100 kiloyu geçmişsin. Artan sırf bu olmuş.,filozofikir
5,2018-12-31 23:56:47+00:00,1079889135622594561,Por un 2019 con un dólar estáble la puta que te pariooooo,juanangrisano69
6,2018-12-31 23:56:22+00:00,1079889027682263040,"Mí hermana es mí especie de banco, cuando no tengo plata para salir, voy y le cambio a ella. A 15 me toma el dolar, 15 pesos. Ladrona, estafadora, delincuente. 11 años tenés",aguvelasco
7,2018-12-31 23:56:01+00:00,1079888941581561856,@EmreUslu Coni hani dolar 31.12.18 de 7 lira olacaktı😉,4_KERE_H_H_H_H
8,2018-12-31 23:55:29+00:00,1079888806453657607,"T.R.M. Colombia: pesos por 1 dólar, 31 de diciembre de 2018 https://t.co/63qjefWpP2",OigaNoticias
9,2018-12-31 23:55:12+00:00,1079888734773043201,"#DolarParalelo #Venezuela 
#DolarCalle: 739,08 #Dolar: 730,29 #EuroCalle: 849,32 #Euro: 839,22 #Dicom (Naturales): 562,15 (Tasa): 635,26 #DolarEuro: 1,1492
https://t.co/zi8VlBxl0O",MercadoLechugas
10,2018-12-31 23:54:41+00:00,1079888603491323905,"Cê ficou calado, parece que é o Bean, mano agora tá na dúvida, quer o meu din' (din')
Vish, tô pagando dólar Paypal, bih', nego fala rápido que é tipo Jet Li",gustavottf
11,2019-01-01 23:59:45+00:00,1080252269369720832,"Al ingresar mi número de tarjeta en @cabify_ecuador me debitaron 1 dólar, ¿por qué? No hay info en su página...",SoyAdelaMancha
12,2019-01-01 23:58:22+00:00,1080251920302907392,"#benchmark 2019. Sobre la inflación, el promedio estimado es de 3.92%. En el tipo de cambio, el promedio de cierre de 2019 estaría en $20.61 pesos por dólar, en un amplio rango desde $19.10 de Vector (muuuy optimista) hasta $22.25 de Barclays. https://t.co/NJ4sz1jbap",jorgemelendez
13,2019-01-01 23:57:07+00:00,1080251604446707713,"Murat Muratoğlu, Dolar 2019'da ne olur: https://t.co/AWsXnmHZT4 via @YouTube",basinbultenler
14,2019-01-01 23:57:07+00:00,1080251603427491841,"@Actualidadworld Es verdad viajar a Europa está carisimo, yo no me altero ni vivo pendiente del dólar, el tema está en que se traslada a los precios y no tenemos a nadie que controle!",marielajor
15,2019-01-01 23:55:47+00:00,1080251268969451520,@GekkoLeeson Dolar en brasil baja a 3.30,turcosain
16,2019-01-01 23:54:52+00:00,1080251037976453120,"@AgirelMurat @orhanaydin6 Bu paraların tamamı ailenin kasasına girdiği için kimse sesini çıkaramaz, zaten Dolar ile hesaplanması da o yüzden, ne de olsa TL pul oldu...",kilicaslanoy
17,2019-01-01 23:54:19+00:00,1080250902118916102,Les di 1 dólar de propinaaaa https://t.co/t3jRavcLdT,JostinFarfan
18,2019-01-01 23:54:17+00:00,1080250891666710529,"Si esperábamos eso, pero a Bolsonaro el gobierno saliente no le esfumó todas las reservas, no entregó jubilaciones y asignaciones sin discreción, no mintió el indec y dejó un dólar con cotización real, además de no tomar indiscriminadamente gente en el estado parasitando y más. https://t.co/CEPNA7ZHFh",NorbertoLamas
19,2019-01-01 23:54:15+00:00,1080250884590915584,o dolar ja ta 2 reais?,rickkgrimws
20,2019-01-01 23:54:12+00:00,1080250871508799488,@Actualidadworld Exactamente era $1 =1 dólar,marielajor
21,2019-01-01 23:54:03+00:00,1080250832027820033,"@FabBallarini Dólar a 20pe
Que yo tenga laburo full time, con sueldo digno y en blanco
Que a los científicos y docentes les paguen lo que merecen",Chibixio
